"","histname","longname","year","histcode","franchise","so","g"
"29"," Philadelphia Phillies","1902 Philadelphia Phillies",1902,"PHI","PHI",480,138
"30"," Pittsburgh Pirates","1902 Pittsburgh Pirates",1902,"PIT","PIT",440,142
"31"," New York Giants","1902 New York Giants",1902,"NYG","SFG",542,141
"32"," St. Louis Cardinals","1902 St. Louis Cardinals",1902,"STL","STL",439,140
"33"," Boston Beaneaters","1903 Boston Beaneaters",1903,"BSN","ATL",496,140
"34"," St. Louis Browns","1903 St. Louis Browns",1903,"SLB","BAL",541,139
"35"," Boston Americans","1903 Boston Americans",1903,"BOS","BOS",559,141
"36"," Chicago Cubs","1903 Chicago Cubs",1903,"CHC","CHC",457,139
"37"," Chicago White Sox","1903 Chicago White Sox",1903,"CHW","CHW",538,138
"38"," Cincinnati Reds","1903 Cincinnati Reds",1903,"CIN","CIN",422,141
"39"," Cleveland Naps","1903 Cleveland Naps",1903,"CLE","CLE",588,140
"40"," Detroit Tigers","1903 Detroit Tigers",1903,"DET","DET",524,137
"41"," Brooklyn Superbas","1903 Brooklyn Superbas",1903,"BRO","LAD",527,139
"42"," Washington Senators","1903 Washington Senators",1903,"WSH","MIN",466,140
"43"," New York Highlanders","1903 New York Highlanders",1903,"NYY","NYY",461,136
"44"," Philadelphia Athletics","1903 Philadelphia Athletics",1903,"PHA","OAK",511,137
"45"," Philadelphia Phillies","1903 Philadelphia Phillies",1903,"PHI","PHI",433,139
"46"," Pittsburgh Pirates","1903 Pittsburgh Pirates",1903,"PIT","PIT",407,141
"47"," New York Giants","1903 New York Giants",1903,"NYG","SFG",473,142
"48"," St. Louis Cardinals","1903 St. Louis Cardinals",1903,"STL","STL",532,139
"49"," Boston Beaneaters","1904 Boston Beaneaters",1904,"BSN","ATL",555,155
"50"," St. Louis Browns","1904 St. Louis Browns",1904,"SLB","BAL",608,156
"51"," Boston Americans","1904 Boston Americans",1904,"BOS","BOS",573,157
"52"," Chicago Cubs","1904 Chicago Cubs",1904,"CHC","CHC",471,156
"53"," Chicago White Sox","1904 Chicago White Sox",1904,"CHW","CHW",586,156
"54"," Cincinnati Reds","1904 Cincinnati Reds",1904,"CIN","CIN",555,157
"55"," Cleveland Naps","1904 Cleveland Naps",1904,"CLE","CLE",717,154
"56"," Detroit Tigers","1904 Detroit Tigers",1904,"DET","DET",633,162
"57"," Brooklyn Superbas","1904 Brooklyn Superbas",1904,"BRO","LAD",694,154
"58"," Washington Senators","1904 Washington Senators",1904,"WSH","MIN",756,157
"59"," New York Highlanders","1904 New York Highlanders",1904,"NYY","NYY",552,155
"60"," Philadelphia Athletics","1904 Philadelphia Athletics",1904,"PHA","OAK",600,155
"61"," Philadelphia Phillies","1904 Philadelphia Phillies",1904,"PHI","PHI",524,155
"62"," Pittsburgh Pirates","1904 Pittsburgh Pirates",1904,"PIT","PIT",509,156
"63"," New York Giants","1904 New York Giants",1904,"NYG","SFG",455,158
"64"," St. Louis Cardinals","1904 St. Louis Cardinals",1904,"STL","STL",492,155
"65"," Boston Beaneaters","1905 Boston Beaneaters",1905,"BSN","ATL",595,156
"66"," St. Louis Browns","1905 St. Louis Browns",1905,"SLB","BAL",639,156
"67"," Boston Americans","1905 Boston Americans",1905,"BOS","BOS",553,153
"68"," Chicago Cubs","1905 Chicago Cubs",1905,"CHC","CHC",507,155
"69"," Chicago White Sox","1905 Chicago White Sox",1905,"CHW","CHW",613,158
"70"," Cincinnati Reds","1905 Cincinnati Reds",1905,"CIN","CIN",498,155
"71"," Cleveland Naps","1905 Cleveland Naps",1905,"CLE","CLE",714,155
"72"," Detroit Tigers","1905 Detroit Tigers",1905,"DET","DET",581,154
"73"," Brooklyn Superbas","1905 Brooklyn Superbas",1905,"BRO","LAD",605,155
"74"," Washington Senators","1905 Washington Senators",1905,"WSH","MIN",818,154
"75"," New York Highlanders","1905 New York Highlanders",1905,"NYY","NYY",534,152
"76"," Philadelphia Athletics","1905 Philadelphia Athletics",1905,"PHA","OAK",641,152
"77"," Philadelphia Phillies","1905 Philadelphia Phillies",1905,"PHI","PHI",614,155
"78"," Pittsburgh Pirates","1905 Pittsburgh Pirates",1905,"PIT","PIT",520,155
"79"," New York Giants","1905 New York Giants",1905,"NYG","SFG",497,155
"80"," St. Louis Cardinals","1905 St. Louis Cardinals",1905,"STL","STL",631,154
"81"," Boston Beaneaters","1906 Boston Beaneaters",1906,"BSN","ATL",684,152
"82"," St. Louis Browns","1906 St. Louis Browns",1906,"SLB","BAL",582,154
"83"," Boston Americans","1906 Boston Americans",1906,"BOS","BOS",627,155
"84"," Chicago Cubs","1906 Chicago Cubs",1906,"CHC","CHC",515,155
"85"," Chicago White Sox","1906 Chicago White Sox",1906,"CHW","CHW",490,154
"86"," Cincinnati Reds","1906 Cincinnati Reds",1906,"CIN","CIN",519,155
"87"," Cleveland Naps","1906 Cleveland Naps",1906,"CLE","CLE",554,157
"88"," Detroit Tigers","1906 Detroit Tigers",1906,"DET","DET",526,151
"89"," Brooklyn Superbas","1906 Brooklyn Superbas",1906,"BRO","LAD",671,153
"90"," Washington Senators","1906 Washington Senators",1906,"WSH","MIN",612,151
"91"," New York Highlanders","1906 New York Highlanders",1906,"NYY","NYY",533,155
"92"," Philadelphia Athletics","1906 Philadelphia Athletics",1906,"PHA","OAK",661,149
"93"," Philadelphia Phillies","1906 Philadelphia Phillies",1906,"PHI","PHI",526,154
"94"," Pittsburgh Pirates","1906 Pittsburgh Pirates",1906,"PIT","PIT",386,154
"95"," New York Giants","1906 New York Giants",1906,"NYG","SFG",531,153
"96"," St. Louis Cardinals","1906 St. Louis Cardinals",1906,"STL","STL",679,154
"97"," Boston Doves","1907 Boston Doves",1907,"BSN","ATL",510,152
"98"," St. Louis Browns","1907 St. Louis Browns",1907,"SLB","BAL",518,155
"99"," Boston Americans","1907 Boston Americans",1907,"BOS","BOS",581,155
"100"," Chicago Cubs","1907 Chicago Cubs",1907,"CHC","CHC",445,155
"101"," Chicago White Sox","1907 Chicago White Sox",1907,"CHW","CHW",483,157
"102"," Cincinnati Reds","1907 Cincinnati Reds",1907,"CIN","CIN",529,156
"103"," Cleveland Naps","1907 Cleveland Naps",1907,"CLE","CLE",663,158
"104"," Detroit Tigers","1907 Detroit Tigers",1907,"DET","DET",537,153
"105"," Brooklyn Superbas","1907 Brooklyn Superbas",1907,"BRO","LAD",633,153
"106"," Washington Senators","1907 Washington Senators",1907,"WSH","MIN",613,154
"107"," New York Highlanders","1907 New York Highlanders",1907,"NYY","NYY",521,152
"108"," Philadelphia Athletics","1907 Philadelphia Athletics",1907,"PHA","OAK",547,150
"109"," Philadelphia Phillies","1907 Philadelphia Phillies",1907,"PHI","PHI",512,149
"110"," Pittsburgh Pirates","1907 Pittsburgh Pirates",1907,"PIT","PIT",448,157
"111"," New York Giants","1907 New York Giants",1907,"NYG","SFG",506,155
"112"," St. Louis Cardinals","1907 St. Louis Cardinals",1907,"STL","STL",604,155
"113"," Boston Doves","1908 Boston Doves",1908,"BSN","ATL",485,156
"114"," St. Louis Browns","1908 St. Louis Browns",1908,"SLB","BAL",648,155
"115"," Boston Red Sox","1908 Boston Red Sox",1908,"BOS","BOS",587,155
"116"," Chicago Cubs","1908 Chicago Cubs",1908,"CHC","CHC",520,158
"117"," Chicago White Sox","1908 Chicago White Sox",1908,"CHW","CHW",577,156
"118"," Cincinnati Reds","1908 Cincinnati Reds",1908,"CIN","CIN",555,155
"119"," Cleveland Naps","1908 Cleveland Naps",1908,"CLE","CLE",715,157
"120"," Detroit Tigers","1908 Detroit Tigers",1908,"DET","DET",545,154
"121"," Brooklyn Superbas","1908 Brooklyn Superbas",1908,"BRO","LAD",612,154
"122"," Washington Senators","1908 Washington Senators",1908,"WSH","MIN",597,155
"123"," New York Highlanders","1908 New York Highlanders",1908,"NYY","NYY",639,155
"124"," Philadelphia Athletics","1908 Philadelphia Athletics",1908,"PHA","OAK",595,157
"125"," Philadelphia Phillies","1908 Philadelphia Phillies",1908,"PHI","PHI",528,155
"126"," Pittsburgh Pirates","1908 Pittsburgh Pirates",1908,"PIT","PIT",457,155
"127"," New York Giants","1908 New York Giants",1908,"NYG","SFG",378,157
"128"," St. Louis Cardinals","1908 St. Louis Cardinals",1908,"STL","STL",623,154
"129"," Boston Doves","1909 Boston Doves",1909,"BSN","ATL",542,155
"130"," St. Louis Browns","1909 St. Louis Browns",1909,"SLB","BAL",612,154
"131"," Boston Red Sox","1909 Boston Red Sox",1909,"BOS","BOS",584,152
"132"," Chicago Cubs","1909 Chicago Cubs",1909,"CHC","CHC",549,155
"133"," Chicago White Sox","1909 Chicago White Sox",1909,"CHW","CHW",596,159
"134"," Cincinnati Reds","1909 Cincinnati Reds",1909,"CIN","CIN",579,157
"135"," Cleveland Naps","1909 Cleveland Naps",1909,"CLE","CLE",698,155
"136"," Detroit Tigers","1909 Detroit Tigers",1909,"DET","DET",625,158
"137"," Brooklyn Superbas","1909 Brooklyn Superbas",1909,"BRO","LAD",648,155
"138"," Washington Senators","1909 Washington Senators",1909,"WSH","MIN",611,156
"139"," New York Highlanders","1909 New York Highlanders",1909,"NYY","NYY",595,153
"140"," Philadelphia Athletics","1909 Philadelphia Athletics",1909,"PHA","OAK",577,153
"141"," Philadelphia Phillies","1909 Philadelphia Phillies",1909,"PHI","PHI",484,154
"142"," Pittsburgh Pirates","1909 Pittsburgh Pirates",1909,"PIT","PIT",507,154
"143"," New York Giants","1909 New York Giants",1909,"NYG","SFG",478,158
"144"," St. Louis Cardinals","1909 St. Louis Cardinals",1909,"STL","STL",669,154
"145"," Boston Doves","1910 Boston Doves",1910,"BSN","ATL",540,157
"146"," St. Louis Browns","1910 St. Louis Browns",1910,"SLB","BAL",862,158
"147"," Boston Red Sox","1910 Boston Red Sox",1910,"BOS","BOS",724,158
"148"," Chicago Cubs","1910 Chicago Cubs",1910,"CHC","CHC",501,154
"149"," Chicago White Sox","1910 Chicago White Sox",1910,"CHW","CHW",648,156
"150"," Cincinnati Reds","1910 Cincinnati Reds",1910,"CIN","CIN",515,156
"151"," Cleveland Naps","1910 Cleveland Naps",1910,"CLE","CLE",636,161
"152"," Detroit Tigers","1910 Detroit Tigers",1910,"DET","DET",561,155
"153"," Brooklyn Superbas","1910 Brooklyn Superbas",1910,"BRO","LAD",706,156
"154"," Washington Senators","1910 Washington Senators",1910,"WSH","MIN",640,157
"155"," New York Highlanders","1910 New York Highlanders",1910,"NYY","NYY",637,156
"156"," Philadelphia Athletics","1910 Philadelphia Athletics",1910,"PHA","OAK",573,155
"157"," Philadelphia Phillies","1910 Philadelphia Phillies",1910,"PHI","PHI",559,157
"158"," Pittsburgh Pirates","1910 Pittsburgh Pirates",1910,"PIT","PIT",524,154
"159"," New York Giants","1910 New York Giants",1910,"NYG","SFG",489,155
"160"," St. Louis Cardinals","1910 St. Louis Cardinals",1910,"STL","STL",581,153
"161"," Boston Rustlers","1911 Boston Rustlers",1911,"BSN","ATL",577,156
"162"," St. Louis Browns","1911 St. Louis Browns",1911,"SLB","BAL",788,152
"163"," Boston Red Sox","1911 Boston Red Sox",1911,"BOS","BOS",634,153
"164"," Chicago Cubs","1911 Chicago Cubs",1911,"CHC","CHC",617,157
"165"," Chicago White Sox","1911 Chicago White Sox",1911,"CHW","CHW",598,154
"166"," Cincinnati Reds","1911 Cincinnati Reds",1911,"CIN","CIN",594,159
"167"," Cleveland Naps","1911 Cleveland Naps",1911,"CLE","CLE",646,156
"168"," Detroit Tigers","1911 Detroit Tigers",1911,"DET","DET",655,154
"169"," Brooklyn Dodgers","1911 Brooklyn Dodgers",1911,"BRO","LAD",683,154
"170"," Washington Senators","1911 Washington Senators",1911,"WSH","MIN",639,154
"171"," New York Highlanders","1911 New York Highlanders",1911,"NYY","NYY",600,153
"172"," Philadelphia Athletics","1911 Philadelphia Athletics",1911,"PHA","OAK",517,152
"173"," Philadelphia Phillies","1911 Philadelphia Phillies",1911,"PHI","PHI",588,153
"174"," Pittsburgh Pirates","1911 Pittsburgh Pirates",1911,"PIT","PIT",583,155
"175"," New York Giants","1911 New York Giants",1911,"NYG","SFG",506,154
"176"," St. Louis Cardinals","1911 St. Louis Cardinals",1911,"STL","STL",650,158
"177"," Boston Braves","1912 Boston Braves",1912,"BSN","ATL",690,155
"178"," St. Louis Browns","1912 St. Louis Browns",1912,"SLB","BAL",815,157
"179"," Boston Red Sox","1912 Boston Red Sox",1912,"BOS","BOS",612,154
"180"," Chicago Cubs","1912 Chicago Cubs",1912,"CHC","CHC",615,152
"181"," Chicago White Sox","1912 Chicago White Sox",1912,"CHW","CHW",647,158
"182"," Cincinnati Reds","1912 Cincinnati Reds",1912,"CIN","CIN",492,155
"183"," Cleveland Naps","1912 Cleveland Naps",1912,"CLE","CLE",547,155
"184"," Detroit Tigers","1912 Detroit Tigers",1912,"DET","DET",608,154
"185"," Brooklyn Dodgers","1912 Brooklyn Dodgers",1912,"BRO","LAD",584,153
"186"," Washington Senators","1912 Washington Senators",1912,"WSH","MIN",748,154
"187"," New York Highlanders","1912 New York Highlanders",1912,"NYY","NYY",582,153
"188"," Philadelphia Athletics","1912 Philadelphia Athletics",1912,"PHA","OAK",563,153
"189"," Philadelphia Phillies","1912 Philadelphia Phillies",1912,"PHI","PHI",615,152
"190"," Pittsburgh Pirates","1912 Pittsburgh Pirates",1912,"PIT","PIT",514,152
"191"," New York Giants","1912 New York Giants",1912,"NYG","SFG",497,154
"192"," St. Louis Cardinals","1912 St. Louis Cardinals",1912,"STL","STL",620,153
"193"," Boston Braves","1913 Boston Braves",1913,"BSN","ATL",641,154
"194"," St. Louis Browns","1913 St. Louis Browns",1913,"SLB","BAL",775,155
"195"," Boston Red Sox","1913 Boston Red Sox",1913,"BOS","BOS",535,151
"196"," Chicago Cubs","1913 Chicago Cubs",1913,"CHC","CHC",634,155
"197"," Chicago White Sox","1913 Chicago White Sox",1913,"CHW","CHW",550,153
"198"," Cincinnati Reds","1913 Cincinnati Reds",1913,"CIN","CIN",579,156
"199"," Cleveland Naps","1913 Cleveland Naps",1913,"CLE","CLE",557,155
"200"," Detroit Tigers","1913 Detroit Tigers",1913,"DET","DET",501,153
"201"," Brooklyn Superbas","1913 Brooklyn Superbas",1913,"BRO","LAD",555,152
"202"," Washington Senators","1913 Washington Senators",1913,"WSH","MIN",595,155
"203"," New York Yankees","1913 New York Yankees",1913,"NYY","NYY",617,153
"204"," Philadelphia Athletics","1913 Philadelphia Athletics",1913,"PHA","OAK",547,153
"205"," Philadelphia Phillies","1913 Philadelphia Phillies",1913,"PHI","PHI",578,159
"206"," Pittsburgh Pirates","1913 Pittsburgh Pirates",1913,"PIT","PIT",545,155
"207"," New York Giants","1913 New York Giants",1913,"NYG","SFG",501,156
"208"," St. Louis Cardinals","1913 St. Louis Cardinals",1913,"STL","STL",573,153
"209"," Boston Braves","1914 Boston Braves",1914,"BSN","ATL",617,158
"210"," St. Louis Browns","1914 St. Louis Browns",1914,"SLB","BAL",863,159
"211"," Boston Red Sox","1914 Boston Red Sox",1914,"BOS","BOS",549,159
"212"," Chicago Cubs","1914 Chicago Cubs",1914,"CHC","CHC",577,156
"213"," Chicago White Sox","1914 Chicago White Sox",1914,"CHW","CHW",609,157
"214"," Cincinnati Reds","1914 Cincinnati Reds",1914,"CIN","CIN",627,157
"215"," Cleveland Naps","1914 Cleveland Naps",1914,"CLE","CLE",685,157
"216"," Detroit Tigers","1914 Detroit Tigers",1914,"DET","DET",537,157
"217"," Brooklyn Robins","1914 Brooklyn Robins",1914,"BRO","LAD",559,154
"218"," Washington Senators","1914 Washington Senators",1914,"WSH","MIN",640,158
"219"," New York Yankees","1914 New York Yankees",1914,"NYY","NYY",711,157
"220"," Philadelphia Athletics","1914 Philadelphia Athletics",1914,"PHA","OAK",517,158
"221"," Philadelphia Phillies","1914 Philadelphia Phillies",1914,"PHI","PHI",570,154
"222"," Pittsburgh Pirates","1914 Pittsburgh Pirates",1914,"PIT","PIT",608,158
"223"," New York Giants","1914 New York Giants",1914,"NYG","SFG",479,156
"224"," St. Louis Cardinals","1914 St. Louis Cardinals",1914,"STL","STL",618,157
"225"," Boston Braves","1915 Boston Braves",1915,"BSN","ATL",620,157
"226"," St. Louis Browns","1915 St. Louis Browns",1915,"SLB","BAL",765,159
"227"," Boston Red Sox","1915 Boston Red Sox",1915,"BOS","BOS",476,155
"228"," Chicago Cubs","1915 Chicago Cubs",1915,"CHC","CHC",639,156
"229"," Chicago White Sox","1915 Chicago White Sox",1915,"CHW","CHW",575,155
"230"," Cincinnati Reds","1915 Cincinnati Reds",1915,"CIN","CIN",512,160
"231"," Cleveland Indians","1915 Cleveland Indians",1915,"CLE","CLE",681,154
"232"," Detroit Tigers","1915 Detroit Tigers",1915,"DET","DET",527,156
"233"," Brooklyn Robins","1915 Brooklyn Robins",1915,"BRO","LAD",496,154
"234"," Washington Senators","1915 Washington Senators",1915,"WSH","MIN",541,155
"235"," New York Yankees","1915 New York Yankees",1915,"NYY","NYY",669,154
"236"," Philadelphia Athletics","1915 Philadelphia Athletics",1915,"PHA","OAK",634,154
"237"," Philadelphia Phillies","1915 Philadelphia Phillies",1915,"PHI","PHI",600,153
"238"," Pittsburgh Pirates","1915 Pittsburgh Pirates",1915,"PIT","PIT",656,156
"239"," New York Giants","1915 New York Giants",1915,"NYG","SFG",547,155
"240"," St. Louis Cardinals","1915 St. Louis Cardinals",1915,"STL","STL",658,157
"241"," Boston Braves","1916 Boston Braves",1916,"BSN","ATL",646,158
"242"," St. Louis Browns","1916 St. Louis Browns",1916,"SLB","BAL",638,158
"243"," Boston Red Sox","1916 Boston Red Sox",1916,"BOS","BOS",482,156
"244"," Chicago Cubs","1916 Chicago Cubs",1916,"CHC","CHC",662,156
"245"," Chicago White Sox","1916 Chicago White Sox",1916,"CHW","CHW",591,155
"246"," Cincinnati Reds","1916 Cincinnati Reds",1916,"CIN","CIN",573,155
"247"," Cleveland Indians","1916 Cleveland Indians",1916,"CLE","CLE",605,157
"248"," Detroit Tigers","1916 Detroit Tigers",1916,"DET","DET",529,155
"249"," Brooklyn Robins","1916 Brooklyn Robins",1916,"BRO","LAD",550,156
"250"," Washington Senators","1916 Washington Senators",1916,"WSH","MIN",597,159
"251"," New York Yankees","1916 New York Yankees",1916,"NYY","NYY",632,156
"252"," Philadelphia Athletics","1916 Philadelphia Athletics",1916,"PHA","OAK",631,154
"253"," Philadelphia Phillies","1916 Philadelphia Phillies",1916,"PHI","PHI",571,154
"254"," Pittsburgh Pirates","1916 Pittsburgh Pirates",1916,"PIT","PIT",618,157
"255"," New York Giants","1916 New York Giants",1916,"NYG","SFG",558,155
"256"," St. Louis Cardinals","1916 St. Louis Cardinals",1916,"STL","STL",651,153
"257"," Boston Braves","1917 Boston Braves",1917,"BSN","ATL",587,157
"258"," St. Louis Browns","1917 St. Louis Browns",1917,"SLB","BAL",540,155
"259"," Boston Red Sox","1917 Boston Red Sox",1917,"BOS","BOS",473,157
"260"," Chicago Cubs","1917 Chicago Cubs",1917,"CHC","CHC",599,157
"261"," Chicago White Sox","1917 Chicago White Sox",1917,"CHW","CHW",479,156
"262"," Cincinnati Reds","1917 Cincinnati Reds",1917,"CIN","CIN",477,157
"263"," Cleveland Indians","1917 Cleveland Indians",1917,"CLE","CLE",596,156
"264"," Detroit Tigers","1917 Detroit Tigers",1917,"DET","DET",476,154
"265"," Brooklyn Robins","1917 Brooklyn Robins",1917,"BRO","LAD",527,156
"266"," Washington Senators","1917 Washington Senators",1917,"WSH","MIN",574,157
"267"," New York Yankees","1917 New York Yankees",1917,"NYY","NYY",535,155
"268"," Philadelphia Athletics","1917 Philadelphia Athletics",1917,"PHA","OAK",519,154
"269"," Philadelphia Phillies","1917 Philadelphia Phillies",1917,"PHI","PHI",533,154
"270"," Pittsburgh Pirates","1917 Pittsburgh Pirates",1917,"PIT","PIT",580,157
"271"," New York Giants","1917 New York Giants",1917,"NYG","SFG",533,158
"272"," St. Louis Cardinals","1917 St. Louis Cardinals",1917,"STL","STL",652,154
"273"," Boston Braves","1918 Boston Braves",1918,"BSN","ATL",438,124
"274"," St. Louis Browns","1918 St. Louis Browns",1918,"SLB","BAL",340,123
"275"," Boston Red Sox","1918 Boston Red Sox",1918,"BOS","BOS",324,126
"276"," Chicago Cubs","1918 Chicago Cubs",1918,"CHC","CHC",343,131
"277"," Chicago White Sox","1918 Chicago White Sox",1918,"CHW","CHW",358,124
"278"," Cincinnati Reds","1918 Cincinnati Reds",1918,"CIN","CIN",303,129
"279"," Cleveland Indians","1918 Cleveland Indians",1918,"CLE","CLE",386,129
"280"," Detroit Tigers","1918 Detroit Tigers",1918,"DET","DET",380,128
"281"," Brooklyn Robins","1918 Brooklyn Robins",1918,"BRO","LAD",326,126
"282"," Washington Senators","1918 Washington Senators",1918,"WSH","MIN",361,130
"283"," New York Yankees","1918 New York Yankees",1918,"NYY","NYY",370,126
"284"," Philadelphia Athletics","1918 Philadelphia Athletics",1918,"PHA","OAK",485,130
"285"," Philadelphia Phillies","1918 Philadelphia Phillies",1918,"PHI","PHI",400,125
"286"," Pittsburgh Pirates","1918 Pittsburgh Pirates",1918,"PIT","PIT",285,126
"287"," New York Giants","1918 New York Giants",1918,"NYG","SFG",365,124
"288"," St. Louis Cardinals","1918 St. Louis Cardinals",1918,"STL","STL",461,131
"289"," Boston Braves","1919 Boston Braves",1919,"BSN","ATL",481,140
"290"," St. Louis Browns","1919 St. Louis Browns",1919,"SLB","BAL",443,140
"291"," Boston Red Sox","1919 Boston Red Sox",1919,"BOS","BOS",411,138
"292"," Chicago Cubs","1919 Chicago Cubs",1919,"CHC","CHC",359,140
"293"," Chicago White Sox","1919 Chicago White Sox",1919,"CHW","CHW",358,140
"294"," Cincinnati Reds","1919 Cincinnati Reds",1919,"CIN","CIN",368,140
"295"," Cleveland Indians","1919 Cleveland Indians",1919,"CLE","CLE",367,139
"296"," Detroit Tigers","1919 Detroit Tigers",1919,"DET","DET",427,140
"297"," Brooklyn Robins","1919 Brooklyn Robins",1919,"BRO","LAD",405,141
"298"," Washington Senators","1919 Washington Senators",1919,"WSH","MIN",511,142
"299"," New York Yankees","1919 New York Yankees",1919,"NYY","NYY",479,141
"300"," Philadelphia Athletics","1919 Philadelphia Athletics",1919,"PHA","OAK",565,140
"301"," Philadelphia Phillies","1919 Philadelphia Phillies",1919,"PHI","PHI",469,138
"302"," Pittsburgh Pirates","1919 Pittsburgh Pirates",1919,"PIT","PIT",381,139
"303"," New York Giants","1919 New York Giants",1919,"NYG","SFG",407,140
"304"," St. Louis Cardinals","1919 St. Louis Cardinals",1919,"STL","STL",418,138
"305"," Boston Braves","1920 Boston Braves",1920,"BSN","ATL",488,153
"306"," St. Louis Browns","1920 St. Louis Browns",1920,"SLB","BAL",338,154
"307"," Boston Red Sox","1920 Boston Red Sox",1920,"BOS","BOS",428,154
"308"," Chicago Cubs","1920 Chicago Cubs",1920,"CHC","CHC",421,154
"309"," Chicago White Sox","1920 Chicago White Sox",1920,"CHW","CHW",350,154
"310"," Cincinnati Reds","1920 Cincinnati Reds",1920,"CIN","CIN",367,154
"311"," Cleveland Indians","1920 Cleveland Indians",1920,"CLE","CLE",376,154
"312"," Detroit Tigers","1920 Detroit Tigers",1920,"DET","DET",389,155
"313"," Brooklyn Robins","1920 Brooklyn Robins",1920,"BRO","LAD",391,155
"314"," Washington Senators","1920 Washington Senators",1920,"WSH","MIN",538,153
"315"," New York Yankees","1920 New York Yankees",1920,"NYY","NYY",621,154
"316"," Philadelphia Athletics","1920 Philadelphia Athletics",1920,"PHA","OAK",575,156
"317"," Philadelphia Phillies","1920 Philadelphia Phillies",1920,"PHI","PHI",531,153
"318"," Pittsburgh Pirates","1920 Pittsburgh Pirates",1920,"PIT","PIT",405,155
"319"," New York Giants","1920 New York Giants",1920,"NYG","SFG",545,155
"320"," St. Louis Cardinals","1920 St. Louis Cardinals",1920,"STL","STL",484,155
"321"," Boston Braves","1921 Boston Braves",1921,"BSN","ATL",470,153
"322"," St. Louis Browns","1921 St. Louis Browns",1921,"SLB","BAL",402,154
"323"," Boston Red Sox","1921 Boston Red Sox",1921,"BOS","BOS",344,154
"324"," Chicago Cubs","1921 Chicago Cubs",1921,"CHC","CHC",374,153
"325"," Chicago White Sox","1921 Chicago White Sox",1921,"CHW","CHW",480,154
"326"," Cincinnati Reds","1921 Cincinnati Reds",1921,"CIN","CIN",308,153
"327"," Cleveland Indians","1921 Cleveland Indians",1921,"CLE","CLE",373,154
"328"," Detroit Tigers","1921 Detroit Tigers",1921,"DET","DET",373,154
"329"," Brooklyn Robins","1921 Brooklyn Robins",1921,"BRO","LAD",400,152
"330"," Washington Senators","1921 Washington Senators",1921,"WSH","MIN",466,154
"331"," New York Yankees","1921 New York Yankees",1921,"NYY","NYY",571,153
"332"," Philadelphia Athletics","1921 Philadelphia Athletics",1921,"PHA","OAK",570,155
"333"," Philadelphia Phillies","1921 Philadelphia Phillies",1921,"PHI","PHI",615,154
"334"," Pittsburgh Pirates","1921 Pittsburgh Pirates",1921,"PIT","PIT",371,154
"335"," New York Giants","1921 New York Giants",1921,"NYG","SFG",390,153
"336"," St. Louis Cardinals","1921 St. Louis Cardinals",1921,"STL","STL",452,154
"337"," Boston Braves","1922 Boston Braves",1922,"BSN","ATL",451,154
"338"," St. Louis Browns","1922 St. Louis Browns",1922,"SLB","BAL",380,154
