,date,gender,births
328,1969-06-05,F,4686
329,1969-06-05,M,4902
330,1969-06-06,F,4864
331,1969-06-06,M,5142
332,1969-06-07,F,4342
333,1969-06-07,M,4472
334,1969-06-08,F,3958
335,1969-06-08,M,4268
336,1969-06-09,F,4826
337,1969-06-09,M,4912
338,1969-06-10,F,4920
339,1969-06-10,M,5400
340,1969-06-11,F,4760
341,1969-06-11,M,5190
342,1969-06-12,F,4980
343,1969-06-12,M,5240
344,1969-06-13,F,4772
345,1969-06-13,M,5080
346,1969-06-14,F,4358
347,1969-06-14,M,4562
348,1969-06-15,F,4046
349,1969-06-15,M,4356
350,1969-06-16,F,4628
351,1969-06-16,M,5116
352,1969-06-17,F,5150
353,1969-06-17,M,5144
354,1969-06-18,F,4864
355,1969-06-18,M,5356
356,1969-06-19,F,4630
357,1969-06-19,M,5126
358,1969-06-20,F,5122
359,1969-06-20,M,5302
360,1969-06-21,F,4328
361,1969-06-21,M,4706
362,1969-06-22,F,4136
363,1969-06-22,M,4476
364,1969-06-23,F,4842
365,1969-06-23,M,5038
366,1969-06-24,F,5180
367,1969-06-24,M,5444
368,1969-06-25,F,5196
369,1969-06-25,M,5270
370,1969-06-26,F,5016
371,1969-06-26,M,5328
372,1969-06-27,F,5288
373,1969-06-27,M,5488
374,1969-06-28,F,4610
375,1969-06-28,M,4956
376,1969-06-29,F,4262
377,1969-06-29,M,4538
378,1969-06-30,F,5260
379,1969-06-30,M,5328
384,1969-07-01,F,5378
385,1969-07-01,M,5768
386,1969-07-02,F,5242
387,1969-07-02,M,5516
388,1969-07-03,F,5030
389,1969-07-03,M,5532
390,1969-07-04,F,4504
391,1969-07-04,M,4664
392,1969-07-05,F,4492
393,1969-07-05,M,4756
394,1969-07-06,F,4246
395,1969-07-06,M,4614
396,1969-07-07,F,5138
397,1969-07-07,M,5496
398,1969-07-08,F,5282
399,1969-07-08,M,5560
400,1969-07-09,F,5132
401,1969-07-09,M,5444
402,1969-07-10,F,5166
403,1969-07-10,M,5396
404,1969-07-11,F,5210
405,1969-07-11,M,5476
406,1969-07-12,F,4596
407,1969-07-12,M,4876
408,1969-07-13,F,4454
409,1969-07-13,M,4524
410,1969-07-14,F,4768
411,1969-07-14,M,5474
412,1969-07-15,F,5486
413,1969-07-15,M,5810
414,1969-07-16,F,5086
415,1969-07-16,M,5612
416,1969-07-17,F,5194
417,1969-07-17,M,5474
418,1969-07-18,F,5242
419,1969-07-18,M,5390
420,1969-07-19,F,4838
421,1969-07-19,M,4836
422,1969-07-20,F,4320
423,1969-07-20,M,4620
424,1969-07-21,F,4984
425,1969-07-21,M,5212
426,1969-07-22,F,5408
427,1969-07-22,M,5632
428,1969-07-23,F,5092
429,1969-07-23,M,5376
430,1969-07-24,F,5124
431,1969-07-24,M,5306
432,1969-07-25,F,5126
433,1969-07-25,M,5562
434,1969-07-26,F,4734
435,1969-07-26,M,5052
436,1969-07-27,F,4626
437,1969-07-27,M,4782
438,1969-07-28,F,4990
439,1969-07-28,M,5558
440,1969-07-29,F,5434
441,1969-07-29,M,5668
442,1969-07-30,F,5192
443,1969-07-30,M,5442
444,1969-07-31,F,5076
445,1969-07-31,M,5270
448,1969-08-01,F,5112
449,1969-08-01,M,5618
450,1969-08-02,F,4872
451,1969-08-02,M,5110
452,1969-08-03,F,4464
453,1969-08-03,M,4618
454,1969-08-04,F,5118
455,1969-08-04,M,5332
456,1969-08-05,F,5418
457,1969-08-05,M,5526
458,1969-08-06,F,5232
459,1969-08-06,M,5620
460,1969-08-07,F,5066
461,1969-08-07,M,5316
462,1969-08-08,F,5376
463,1969-08-08,M,5926
464,1969-08-09,F,4968
465,1969-08-09,M,5124
466,1969-08-10,F,4394
467,1969-08-10,M,4712
468,1969-08-11,F,5120
469,1969-08-11,M,5586
470,1969-08-12,F,5542
471,1969-08-12,M,5596
472,1969-08-13,F,5210
473,1969-08-13,M,5592
474,1969-08-14,F,5290
475,1969-08-14,M,5436
476,1969-08-15,F,5298
477,1969-08-15,M,5612
478,1969-08-16,F,4774
479,1969-08-16,M,4998
480,1969-08-17,F,4482
481,1969-08-17,M,4642
482,1969-08-18,F,5120
483,1969-08-18,M,5530
484,1969-08-19,F,5550
485,1969-08-19,M,5860
486,1969-08-20,F,5226
487,1969-08-20,M,5692
488,1969-08-21,F,4962
489,1969-08-21,M,5222
490,1969-08-22,F,5170
491,1969-08-22,M,5416
492,1969-08-23,F,4682
493,1969-08-23,M,4978
494,1969-08-24,F,4438
495,1969-08-24,M,4646
496,1969-08-25,F,5104
497,1969-08-25,M,5482
498,1969-08-26,F,5400
499,1969-08-26,M,5682
500,1969-08-27,F,5076
501,1969-08-27,M,5562
502,1969-08-28,F,5162
503,1969-08-28,M,5454
504,1969-08-29,F,5138
505,1969-08-29,M,5576
506,1969-08-30,F,4680
507,1969-08-30,M,5028
508,1969-08-31,F,4358
509,1969-08-31,M,4628
512,1969-09-01,F,4440
513,1969-09-01,M,4572
514,1969-09-02,F,5174
515,1969-09-02,M,5512
516,1969-09-03,F,5210
517,1969-09-03,M,5834
518,1969-09-04,F,5172
519,1969-09-04,M,5334
520,1969-09-05,F,5032
521,1969-09-05,M,5578
522,1969-09-06,F,4722
523,1969-09-06,M,4988
524,1969-09-07,F,4514
525,1969-09-07,M,4682
526,1969-09-08,F,5030
527,1969-09-08,M,5478
528,1969-09-09,F,5172
529,1969-09-09,M,5426
530,1969-09-10,F,5020
531,1969-09-10,M,5430
532,1969-09-11,F,5042
533,1969-09-11,M,5366
534,1969-09-12,F,5226
535,1969-09-12,M,5526
536,1969-09-13,F,4744
537,1969-09-13,M,4790
538,1969-09-14,F,4552
539,1969-09-14,M,4652
540,1969-09-15,F,5122
541,1969-09-15,M,5606
542,1969-09-16,F,5390
543,1969-09-16,M,5752
544,1969-09-17,F,5268
545,1969-09-17,M,5596
546,1969-09-18,F,5288
547,1969-09-18,M,5588
548,1969-09-19,F,5422
549,1969-09-19,M,5410
550,1969-09-20,F,4930
551,1969-09-20,M,5110
552,1969-09-21,F,4712
553,1969-09-21,M,4656
554,1969-09-22,F,5374
555,1969-09-22,M,5596
556,1969-09-23,F,5504
557,1969-09-23,M,5796
558,1969-09-24,F,5250
559,1969-09-24,M,5648
560,1969-09-25,F,5278
561,1969-09-25,M,5562
562,1969-09-26,F,5508
563,1969-09-26,M,5646
564,1969-09-27,F,4986
565,1969-09-27,M,5184
566,1969-09-28,F,4564
567,1969-09-28,M,4634
568,1969-09-29,F,5192
569,1969-09-29,M,5516
570,1969-09-30,F,5454
571,1969-09-30,M,5684
576,1969-10-01,F,5290
577,1969-10-01,M,5620
578,1969-10-02,F,5322
579,1969-10-02,M,5334
580,1969-10-03,F,5324
581,1969-10-03,M,5598
582,1969-10-04,F,4732
583,1969-10-04,M,4978
584,1969-10-05,F,4464
585,1969-10-05,M,4508
586,1969-10-06,F,5008
587,1969-10-06,M,5310
588,1969-10-07,F,5150
589,1969-10-07,M,5504
590,1969-10-08,F,5194
591,1969-10-08,M,5316
592,1969-10-09,F,5268
593,1969-10-09,M,5442
594,1969-10-10,F,5398
595,1969-10-10,M,5350
596,1969-10-11,F,4640
597,1969-10-11,M,4926
598,1969-10-12,F,4428
599,1969-10-12,M,4586
600,1969-10-13,F,4894
601,1969-10-13,M,5102
602,1969-10-14,F,5048
603,1969-10-14,M,5570
604,1969-10-15,F,4884
605,1969-10-15,M,5236
606,1969-10-16,F,4836
607,1969-10-16,M,5082
608,1969-10-17,F,5088
609,1969-10-17,M,5250
610,1969-10-18,F,4382
611,1969-10-18,M,4790
612,1969-10-19,F,4092
613,1969-10-19,M,4494
614,1969-10-20,F,4876
615,1969-10-20,M,5272
616,1969-10-21,F,5088
617,1969-10-21,M,5586
618,1969-10-22,F,5018
619,1969-10-22,M,5282
620,1969-10-23,F,4790
621,1969-10-23,M,5024
622,1969-10-24,F,4920
623,1969-10-24,M,5090
624,1969-10-25,F,4416
625,1969-10-25,M,4842
626,1969-10-26,F,4300
627,1969-10-26,M,4564
628,1969-10-27,F,5054
629,1969-10-27,M,5318
630,1969-10-28,F,5096
631,1969-10-28,M,5544
632,1969-10-29,F,4920
633,1969-10-29,M,5184
634,1969-10-30,F,4930
635,1969-10-30,M,5180
636,1969-10-31,F,4836
637,1969-10-31,M,5308
640,1969-11-01,F,4676
641,1969-11-01,M,4666
642,1969-11-02,F,4376
643,1969-11-02,M,4528
644,1969-11-03,F,4952
645,1969-11-03,M,5386
646,1969-11-04,F,5114
647,1969-11-04,M,5658
648,1969-11-05,F,4832
649,1969-11-05,M,5188
650,1969-11-06,F,5090
651,1969-11-06,M,5150
652,1969-11-07,F,5172
653,1969-11-07,M,5488
654,1969-11-08,F,4726
655,1969-11-08,M,4952
656,1969-11-09,F,4342
657,1969-11-09,M,4680
658,1969-11-10,F,5024
659,1969-11-10,M,5318
660,1969-11-11,F,5252
661,1969-11-11,M,5626
662,1969-11-12,F,4862
663,1969-11-12,M,5462
664,1969-11-13,F,5028
665,1969-11-13,M,5072
666,1969-11-14,F,5210
667,1969-11-14,M,5186
668,1969-11-15,F,4480
669,1969-11-15,M,4818
670,1969-11-16,F,4290
671,1969-11-16,M,4370
672,1969-11-17,F,4966
673,1969-11-17,M,5320
674,1969-11-18,F,5346
675,1969-11-18,M,5352
676,1969-11-19,F,5000
677,1969-11-19,M,5260
678,1969-11-20,F,5072
679,1969-11-20,M,5186
680,1969-11-21,F,4846
681,1969-11-21,M,5322
682,1969-11-22,F,4576
683,1969-11-22,M,4862
684,1969-11-23,F,4354
685,1969-11-23,M,4512
686,1969-11-24,F,5186
687,1969-11-24,M,5276
688,1969-11-25,F,5318
689,1969-11-25,M,5546
690,1969-11-26,F,4874
691,1969-11-26,M,5200
692,1969-11-27,F,4084
693,1969-11-27,M,4164
694,1969-11-28,F,4838
695,1969-11-28,M,5110
696,1969-11-29,F,4536
697,1969-11-29,M,4796
698,1969-11-30,F,4448
699,1969-11-30,M,4518
704,1969-12-01,F,5124
705,1969-12-01,M,5524
706,1969-12-02,F,5224
707,1969-12-02,M,5512
708,1969-12-03,F,4948
709,1969-12-03,M,5352
710,1969-12-04,F,5042
711,1969-12-04,M,5212
712,1969-12-05,F,4988
713,1969-12-05,M,5440
714,1969-12-06,F,4602
715,1969-12-06,M,4818
716,1969-12-07,F,4178
717,1969-12-07,M,4562
718,1969-12-08,F,5240
719,1969-12-08,M,5406
720,1969-12-09,F,5246
721,1969-12-09,M,5484
722,1969-12-10,F,5108
723,1969-12-10,M,5240
724,1969-12-11,F,5052
725,1969-12-11,M,5248
726,1969-12-12,F,5254
727,1969-12-12,M,5504
728,1969-12-13,F,4680
729,1969-12-13,M,4922
730,1969-12-14,F,4174
731,1969-12-14,M,4588
732,1969-12-15,F,5328
733,1969-12-15,M,5570
734,1969-12-16,F,5368
735,1969-12-16,M,5654
736,1969-12-17,F,5138
737,1969-12-17,M,5508
738,1969-12-18,F,5180
739,1969-12-18,M,5246
740,1969-12-19,F,5366
741,1969-12-19,M,5546
742,1969-12-20,F,4964
743,1969-12-20,M,4858
744,1969-12-21,F,4434
745,1969-12-21,M,4430
746,1969-12-22,F,5194
747,1969-12-22,M,5298
748,1969-12-23,F,4820
749,1969-12-23,M,5036
750,1969-12-24,F,4322
751,1969-12-24,M,4656
752,1969-12-25,F,4136
753,1969-12-25,M,4148
754,1969-12-26,F,4826
755,1969-12-26,M,5084
756,1969-12-27,F,4544
757,1969-12-27,M,4760
758,1969-12-28,F,4344
759,1969-12-28,M,4660
760,1969-12-29,F,5364
761,1969-12-29,M,5616
762,1969-12-30,F,5988
763,1969-12-30,M,6244
764,1969-12-31,F,5602
765,1969-12-31,M,5520
768,1970-01-01,F,4064
769,1970-01-01,M,4308
770,1970-01-02,F,4536
771,1970-01-02,M,4698
772,1970-01-03,F,4398
773,1970-01-03,M,4764
774,1970-01-04,F,3968
775,1970-01-04,M,4652
776,1970-01-05,F,4718
777,1970-01-05,M,5134
778,1970-01-06,F,4998
779,1970-01-06,M,5204
780,1970-01-07,F,4910
781,1970-01-07,M,5110
782,1970-01-08,F,4744
783,1970-01-08,M,5012
784,1970-01-09,F,4828
785,1970-01-09,M,5016
786,1970-01-10,F,4490
787,1970-01-10,M,4780
788,1970-01-11,F,4476
789,1970-01-11,M,4682
790,1970-01-12,F,5056
791,1970-01-12,M,5418
792,1970-01-13,F,5078
793,1970-01-13,M,5502
794,1970-01-14,F,4986
795,1970-01-14,M,5258
796,1970-01-15,F,4764
797,1970-01-15,M,5182
798,1970-01-16,F,4992
799,1970-01-16,M,5284
800,1970-01-17,F,4662
801,1970-01-17,M,4936
802,1970-01-18,F,4378
803,1970-01-18,M,4570
804,1970-01-19,F,4946
805,1970-01-19,M,5178
806,1970-01-20,F,5084
807,1970-01-20,M,5440
808,1970-01-21,F,4908
809,1970-01-21,M,5188
810,1970-01-22,F,4684
811,1970-01-22,M,5002
812,1970-01-23,F,5012
813,1970-01-23,M,5190
814,1970-01-24,F,4746
815,1970-01-24,M,4724
816,1970-01-25,F,4312
817,1970-01-25,M,4480
818,1970-01-26,F,4972
819,1970-01-26,M,5188
820,1970-01-27,F,5090
821,1970-01-27,M,5512
822,1970-01-28,F,4894
823,1970-01-28,M,5294
824,1970-01-29,F,4792
825,1970-01-29,M,5024
826,1970-01-30,F,4856
827,1970-01-30,M,5056
828,1970-01-31,F,4328
829,1970-01-31,M,4684
832,1970-02-01,F,4380
833,1970-02-01,M,4662
834,1970-02-02,F,5128
835,1970-02-02,M,5414
836,1970-02-03,F,5096
837,1970-02-03,M,5616
838,1970-02-04,F,4848
839,1970-02-04,M,5238
840,1970-02-05,F,4802
841,1970-02-05,M,4964
842,1970-02-06,F,5122
843,1970-02-06,M,5098
844,1970-02-07,F,4652
845,1970-02-07,M,4910
846,1970-02-08,F,4226
847,1970-02-08,M,4790
848,1970-02-09,F,5016
849,1970-02-09,M,5210
850,1970-02-10,F,5218
851,1970-02-10,M,5402
852,1970-02-11,F,4990
853,1970-02-11,M,5298
854,1970-02-12,F,4958
855,1970-02-12,M,5100
856,1970-02-13,F,4986
857,1970-02-13,M,5124
858,1970-02-14,F,4652
859,1970-02-14,M,4906
860,1970-02-15,F,4598
861,1970-02-15,M,4538
862,1970-02-16,F,5056
863,1970-02-16,M,5204
864,1970-02-17,F,5160
865,1970-02-17,M,5516
866,1970-02-18,F,5120
867,1970-02-18,M,5352
868,1970-02-19,F,4792
869,1970-02-19,M,5280
870,1970-02-20,F,5214
871,1970-02-20,M,5330
872,1970-02-21,F,4556
873,1970-02-21,M,4758
874,1970-02-22,F,4458
875,1970-02-22,M,4528
876,1970-02-23,F,5000
877,1970-02-23,M,5168
878,1970-02-24,F,5386
879,1970-02-24,M,5396
880,1970-02-25,F,5254
881,1970-02-25,M,5320
882,1970-02-26,F,5204
883,1970-02-26,M,5204
884,1970-02-27,F,4992
885,1970-02-27,M,5272
886,1970-02-28,F,4796
887,1970-02-28,M,4924
896,1970-03-01,F,4390
897,1970-03-01,M,4492
898,1970-03-02,F,5050
899,1970-03-02,M,5120
900,1970-03-03,F,5334
901,1970-03-03,M,5972
902,1970-03-04,F,5116
903,1970-03-04,M,5484
904,1970-03-05,F,4958
905,1970-03-05,M,5300
906,1970-03-06,F,5216
907,1970-03-06,M,5288
908,1970-03-07,F,4568
909,1970-03-07,M,4892
910,1970-03-08,F,4342
911,1970-03-08,M,4584
912,1970-03-09,F,5092
913,1970-03-09,M,5248
914,1970-03-10,F,5222
915,1970-03-10,M,5522
916,1970-03-11,F,5108
917,1970-03-11,M,5302
918,1970-03-12,F,5000
919,1970-03-12,M,5180
920,1970-03-13,F,4890
921,1970-03-13,M,5250
922,1970-03-14,F,4514
923,1970-03-14,M,4936
924,1970-03-15,F,4098
925,1970-03-15,M,4498
926,1970-03-16,F,4820
927,1970-03-16,M,5238
928,1970-03-17,F,5120
929,1970-03-17,M,5574
930,1970-03-18,F,4986
931,1970-03-18,M,5292
932,1970-03-19,F,4802
933,1970-03-19,M,5298
934,1970-03-20,F,5018
935,1970-03-20,M,5188
936,1970-03-21,F,4572
937,1970-03-21,M,4818
938,1970-03-22,F,4296
939,1970-03-22,M,4488
940,1970-03-23,F,5000
941,1970-03-23,M,5334
942,1970-03-24,F,5064
943,1970-03-24,M,5492
944,1970-03-25,F,4888
945,1970-03-25,M,5260
946,1970-03-26,F,4834
947,1970-03-26,M,5052
948,1970-03-27,F,4650
949,1970-03-27,M,5142
950,1970-03-28,F,4258
951,1970-03-28,M,4506
952,1970-03-29,F,4028
953,1970-03-29,M,4286
954,1970-03-30,F,4766
955,1970-03-30,M,5000
956,1970-03-31,F,5098
957,1970-03-31,M,5074
960,1970-04-01,F,4838
961,1970-04-01,M,5164
962,1970-04-02,F,4834
963,1970-04-02,M,5300
964,1970-04-03,F,4936
965,1970-04-03,M,5180
966,1970-04-04,F,4594
967,1970-04-04,M,4640
968,1970-04-05,F,4250
969,1970-04-05,M,4272
970,1970-04-06,F,4956
971,1970-04-06,M,5096
972,1970-04-07,F,5222
973,1970-04-07,M,5252
974,1970-04-08,F,4856
975,1970-04-08,M,5094
976,1970-04-09,F,4798
977,1970-04-09,M,5100
978,1970-04-10,F,4902
979,1970-04-10,M,5170
980,1970-04-11,F,4388
981,1970-04-11,M,4652
982,1970-04-12,F,3970
983,1970-04-12,M,4244
984,1970-04-13,F,4592
985,1970-04-13,M,4878
986,1970-04-14,F,4874
987,1970-04-14,M,5226
988,1970-04-15,F,4846
989,1970-04-15,M,4978
990,1970-04-16,F,4678
991,1970-04-16,M,4990
992,1970-04-17,F,4630
993,1970-04-17,M,5076
994,1970-04-18,F,4286
995,1970-04-18,M,4500
996,1970-04-19,F,4002
997,1970-04-19,M,4172
998,1970-04-20,F,4720
999,1970-04-20,M,4854
1000,1970-04-21,F,4996
1001,1970-04-21,M,5102
1002,1970-04-22,F,4774
1003,1970-04-22,M,4940
1004,1970-04-23,F,4632
1005,1970-04-23,M,4886
1006,1970-04-24,F,4848
1007,1970-04-24,M,5012
1008,1970-04-25,F,4224
1009,1970-04-25,M,4600
1010,1970-04-26,F,3918
1011,1970-04-26,M,4360
1012,1970-04-27,F,4834
1013,1970-04-27,M,5076
1014,1970-04-28,F,5086
1015,1970-04-28,M,5214
1016,1970-04-29,F,4744
1017,1970-04-29,M,4984
1018,1970-04-30,F,4700
1019,1970-04-30,M,4984
1024,1970-05-01,F,4780
1025,1970-05-01,M,5166
1026,1970-05-02,F,4170
1027,1970-05-02,M,4570
1028,1970-05-03,F,3774
1029,1970-05-03,M,4262
1030,1970-05-04,F,4904
1031,1970-05-04,M,4848
1032,1970-05-05,F,4946
1033,1970-05-05,M,5190
1034,1970-05-06,F,4848
1035,1970-05-06,M,4864
1036,1970-05-07,F,4806
1037,1970-05-07,M,4826
1038,1970-05-08,F,4730
1039,1970-05-08,M,5106
1040,1970-05-09,F,4398
1041,1970-05-09,M,4598
1042,1970-05-10,F,3986
1043,1970-05-10,M,4442
1044,1970-05-11,F,5032
1045,1970-05-11,M,5048
1046,1970-05-12,F,5148
1047,1970-05-12,M,5288
1048,1970-05-13,F,4846
